paperID,imageID,size,imagenumbers
,allpaper,,
allpaper,10.1109@TVCG.2009.108,,5
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_01_T01.jpg,240424,1
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_02_T01.jpg,363451,1
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_03_T01.jpg,1607304,1
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_04_T01.jpg,1912700,1
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_05_T01.jpg,339264,1
allpaper,10.1109@TVCG.2009.109,,12
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_01_T01.jpg,152064,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_02_T01.jpg,168251,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_03_T01.jpg,131285,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_04_T01.jpg,197505,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_05_T01.jpg,315774,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_06_T01.jpg,313208,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_07_T01.jpg,316800,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_08_T01.jpg,315480,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_09_T01.jpg,982974,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_10_T01.jpg,122496,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_11_T01.jpg,231312,1
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_12_T01.jpg,206216,1
allpaper,10.1109@TVCG.2009.117,,6
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_01_T01.jpg,191824,1
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_02_T01.jpg,466080,1
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_03_T01.jpg,72760,1
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_04_T01.jpg,196650,1
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_05_T01.jpg,2828332,1
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_06_T01.jpg,1758276,1
allpaper,10.1109@TVCG.2009.122,,10
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_01_T01.jpg,807024,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_02_T01.jpg,87975,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_03_T01.jpg,283853,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_04_T01.jpg,526656,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_05_T01.jpg,919213,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_06_T01.jpg,181500,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_07_T01.jpg,1294258,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_08_T01.jpg,258888,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_09_T01.jpg,691600,1
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_10_T01.jpg,622765,1
allpaper,10.1109@TVCG.2009.129,,13
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_01_T01.jpg,419968,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_02_T01.jpg,151600,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_03_T01.jpg,148176,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_04_T01.jpg,487620,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_05_T01.jpg,368928,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_06_T01.jpg,370120,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_07_T01.jpg,157456,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_08_T01.jpg,318276,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_09_T01.jpg,424281,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_10_T01.jpg,176320,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_11_T01.jpg,678040,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_12_T01.jpg,271440,1
10.1109@TVCG.2009.129,10.1109@TVCG.2009.129_13_13_T01.jpg,575166,1
allpaper,10.1109@TVCG.2009.130,,9
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_01_T01.jpg,486528,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_02_T01.jpg,429440,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_03_T01.jpg,177599,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_04_T01.jpg,525420,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_05_T01.jpg,388344,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_06_T01.jpg,1104266,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_07_T01.jpg,978520,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_08_T01.jpg,1636889,1
10.1109@TVCG.2009.130,10.1109@TVCG.2009.130_09_09_T01.jpg,243320,1
allpaper,10.1109@TVCG.2009.131,,6
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_01_T01.jpg,226480,1
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_02_T01.jpg,215055,1
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_03_T01.jpg,218322,1
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_04_T01.jpg,461472,1
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_06_T01.jpg,2731311,1
10.1109@TVCG.2009.131,10.1109@TVCG.2009.131_06_07_T01.jpg,336737,1
allpaper,10.1109@TVCG.2009.144,,10
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_01_T01.jpg,751275,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_02_T01.jpg,595334,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_03_T01.jpg,255136,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_04_T01.jpg,402977,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_05_T01.jpg,198716,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_06_T01.jpg,480012,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_07_T01.jpg,530130,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_08_T01.jpg,721776,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_09_T01.jpg,344352,1
10.1109@TVCG.2009.144,10.1109@TVCG.2009.144_10_10_T01.jpg,1064664,1
allpaper,10.1109@TVCG.2009.145,,16
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_01_T01.jpg,578318,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_02_T01.jpg,334560,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_03_T01.jpg,288319,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_04_T01.jpg,423185,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_05_T01.jpg,398970,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_06_T01.jpg,619008,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_07_T01.jpg,356320,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_08_T01.jpg,1079440,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_09_T01.jpg,279000,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_10_T01.jpg,210248,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_11_T01.jpg,172144,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_12_T01.jpg,178808,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_13_T01.jpg,285312,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_14_T01.jpg,374452,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_15_T01.jpg,275652,1
10.1109@TVCG.2009.145,10.1109@TVCG.2009.145_16_16_T01.jpg,861288,1
allpaper,10.1109@TVCG.2009.151,,11
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_01_T01.jpg,1136960,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_02_T01.jpg,86581,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_03_T01.jpg,308154,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_04_T01.jpg,190764,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_05_T01.jpg,441504,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_06_T01.jpg,73440,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_07_T01.jpg,37752,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_08_T01.jpg,69825,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_09_T01.jpg,410300,1
10.1109@TVCG.2009.151,10.1109@TVCG.2009.151_11_10_T01.jpg,605148,1
