venue,year,doi,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.108,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.109,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.110,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.111,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.116,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.117,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.122,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.123,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.127,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.128,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.129,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.130,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.139,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.140,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.143,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.145,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.146,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.148,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.151,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.153,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.162,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.165,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.167,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.171,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.174,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.176,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.179,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.180,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.181,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.182,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.183,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.187,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.188,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.191,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.196,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.201,,,,,,,,,,
InfoVis,2009,10.1109/TVCG.2009.202,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333878,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333893,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333564,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333437,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333428,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332584,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332586,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332593,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332595,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332596,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332610,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332611,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332628,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5332629,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333020,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333023,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333245,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333248,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333431,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333443,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333880,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333895,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333911,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333917,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333919,,,,,,,,,,
VAST,2009,10.1109/VAST.2009.5333920,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.112,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.113,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.114,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.115,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.118,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.119,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.120,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.121,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.124,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.125,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.126,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.131,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.136,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.137,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.138,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.141,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.142,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.144,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.147,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.149,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.150,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.152,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.154,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.155,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.156,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.157,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.158,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.159,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.160,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.161,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.163,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.164,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.166,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.168,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.169,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.170,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.172,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.173,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.175,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.177,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.178,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.184,,,,,,,,,,
SciVis,2009,10.1109/TVCG.2009.185,,,,,,,,,,
