paperID,imageID,size,imagenumbers,imagepath,M,N,ImgEntropy,ratio,meangray,vargray,meanR,vargR,meanG,vargG,meanB,vargB,meanH,vargH,meanS,vargS,meanV,vargV
,allpaper,,,,,,,,,,,,,,,,,,,,,
allpaper,10.1109@TVCG.2009.108,,5,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_01_T01.jpg,240424,1,./image/2009/T01/10.1109@TVCG.2009.108/10.1109@TVCG.2009.108_05_01_T01.jpg,328,733,2.375185,2.234756,234.558006,2709.97479,234.500911,2712.261513,234.549708,2713.419864,234.730975,2689.725532,0.067065,0.040147,0.002711,0.000228,0.920619,0.041246
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_02_T01.jpg,363451,1,./image/2009/T01/10.1109@TVCG.2009.108/10.1109@TVCG.2009.108_05_02_T01.jpg,517,703,2.068825,1.359768,239.697068,2412.116791,239.694941,2412.288152,239.696828,2412.168992,239.709746,2410.713257,0.004124,0.002676,0.000109,0.000004,0.940038,0.037074
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_03_T01.jpg,1607304,1,./image/2009/T01/10.1109@TVCG.2009.108/10.1109@TVCG.2009.108_05_03_T01.jpg,1041,1544,4.525823,1.483189,227.454604,1837.399848,228.163994,1710.58658,227.046956,2001.280118,227.544224,2004.624647,0.344027,0.090489,0.045639,0.01203,0.910785,0.021691
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_04_T01.jpg,1912700,1,./image/2009/T01/10.1109@TVCG.2009.108/10.1109@TVCG.2009.108_05_04_T01.jpg,1234,1550,4.067701,1.256078,232.795904,1330.851864,231.779086,1469.69276,233.255707,1291.449718,233.067442,1303.240562,0.140873,0.059399,0.026791,0.004249,0.921612,0.017716
10.1109@TVCG.2009.108,10.1109@TVCG.2009.108_05_05_T01.jpg,339264,1,./image/2009/T01/10.1109@TVCG.2009.108/10.1109@TVCG.2009.108_05_05_T01.jpg,456,744,1.445532,1.631579,248.145995,908.789428,248.153532,908.880658,248.125395,913.568604,248.220801,885.089844,0.021817,0.013424,0.001489,0.000141,0.97369,0.013611
allpaper,10.1109@TVCG.2009.109,,12,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_01_T01.jpg,152064,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_01_T01.jpg,352,432,2.216297,1.227273,239.665864,1856.702055,240.305542,1794.1061,240.034735,1825.396254,236.076553,2529.920834,0.037133,0.016819,0.025711,0.012837,0.942984,0.02742
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_02_T01.jpg,168251,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_02_T01.jpg,311,541,2.874743,1.73955,241.126638,1329.641443,242.325567,1228.244739,241.855169,1276.551315,234.193645,2521.404611,0.094854,0.037483,0.045779,0.020542,0.951806,0.018685
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_03_T01.jpg,131285,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_03_T01.jpg,217,605,2.006444,2.788018,244.26658,1197.977516,243.621434,1312.128921,244.356964,1184.418354,245.474951,1034.302511,0.036472,0.020486,0.010575,0.002648,0.962762,0.015906
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_04_T01.jpg,197505,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_04_T01.jpg,285,693,6.994488,2.431579,154.032045,1156.159684,159.602972,1294.782486,152.700686,1216.226435,146.231457,1408.894195,0.295054,0.064906,0.120177,0.018957,0.641555,0.019878
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_05_T01.jpg,315774,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_05_T01.jpg,477,662,2.31205,1.387841,239.101383,1597.759683,238.897487,1611.716659,239.505203,1588.065436,237.556984,1919.761228,0.091864,0.043477,0.021544,0.007842,0.943254,0.022053
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_06_T01.jpg,313208,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_06_T01.jpg,476,658,5.40084,1.382353,169.149907,1824.999121,167.824379,1854.46587,169.809864,1823.849458,169.151937,1860.094639,0.414218,0.06971,0.031953,0.002108,0.671984,0.027441
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_07_T01.jpg,316800,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_07_T01.jpg,480,660,2.826841,1.375,230.284457,1975.054214,229.262068,2080.251457,230.827945,1935.174154,230.144347,1994.9609,0.128044,0.055511,0.013433,0.001815,0.906633,0.028985
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_08_T01.jpg,315480,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_08_T01.jpg,478,660,4.346066,1.380753,177.65775,2341.625646,176.771038,2374.239003,178.321599,2374.133731,176.282271,2458.991021,0.441122,0.069224,0.040559,0.009221,0.707246,0.035218
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_09_T01.jpg,982974,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_09_T01.jpg,838,1173,3.792624,1.399761,236.737123,1381.802842,237.168205,1349.821002,237.292023,1342.778007,232.640165,1947.258862,0.196818,0.066889,0.036002,0.008358,0.935192,0.019378
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_10_T01.jpg,122496,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_10_T01.jpg,264,464,2.509558,1.757576,243.072582,1324.537864,243.001976,1327.919421,243.164438,1320.198871,242.76725,1345.120544,0.051724,0.022539,0.00453,0.000467,0.954217,0.020083
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_11_T01.jpg,231312,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_11_T01.jpg,366,632,2.732114,1.726776,231.28778,2168.276434,228.019714,2801.086226,231.880119,2084.099691,236.805968,1275.088869,0.174056,0.067918,0.055179,0.014129,0.930706,0.019419
10.1109@TVCG.2009.109,10.1109@TVCG.2009.109_12_12_T01.jpg,206216,1,./image/2009/T01/10.1109@TVCG.2009.109/10.1109@TVCG.2009.109_12_12_T01.jpg,346,596,2.186234,1.722543,248.436697,715.369549,248.436697,715.369549,248.436697,715.369549,248.436697,715.369549,0,0,0,0,0.974262,0.011001
allpaper,10.1109@TVCG.2009.117,,6,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_01_T01.jpg,191824,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_01_T01.jpg,304,631,1.520768,2.075658,246.926469,1230.411785,246.926469,1230.411785,246.926469,1230.411785,246.926469,1230.411785,0,0,0,0,0.968339,0.018922
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_02_T01.jpg,466080,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_02_T01.jpg,480,971,1.865116,2.022917,245.606327,1857.384514,245.606327,1857.384514,245.606327,1857.384514,245.606327,1857.384514,0,0,0,0,0.963162,0.028564
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_03_T01.jpg,72760,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_03_T01.jpg,136,535,4.597174,3.933824,202.525811,5131.830338,195.632779,6699.296131,203.784648,4980.676571,214.167839,3348.426894,0.209419,0.070387,0.155489,0.063437,0.854175,0.049695
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_04_T01.jpg,196650,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_04_T01.jpg,437,450,4.758249,1.029748,191.647587,2862.730403,190.559375,3003.622684,189.427007,2828.98337,206.153994,3316.979621,0.666905,0.014729,0.11595,0.011548,0.817339,0.047059
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_05_T01.jpg,2828332,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_05_T01.jpg,1996,1417,3.09439,0.70992,225.678737,523.001517,226.021315,518.716091,224.276078,556.794913,232.279001,539.414326,0.398587,0.094748,0.048856,0.002863,0.918719,0.006969
10.1109@TVCG.2009.117,10.1109@TVCG.2009.117_06_06_T01.jpg,1758276,1,./image/2009/T01/10.1109@TVCG.2009.117/10.1109@TVCG.2009.117_06_06_T01.jpg,867,2028,4.545239,2.3391,215.379626,1266.216599,217.749045,1147.751219,213.193391,1421.915535,220.767216,1510.377377,0.463167,0.097179,0.078565,0.012187,0.889066,0.014991
allpaper,10.1109@TVCG.2009.122,,10,,,,,,,,,,,,,,,,,,,
10.1109@TVCG.2009.122,10.1109@TVCG.2009.122_10_01_T01.jpg,807024,1,./image/2009/T01/10.1109@TVCG.2009.122/10.1109@TVCG.2009.122_10_01_T01.jpg,552,1462,1.996517,2.648551,245.546443,1204.366849,245.147742,1258.822115,246.124634,1195.307329,243.584572,1479.158066,0.074794,0.035714,0.021605,0.007901,0.968405,0.016308
