year,venues,nums,average figure
2009,infovis,37,
2010,infovis,35,
2011,infovis,44,
2012,infovis,44,
2013,infovis,38,
2014,infovis,45,
2015,infovis,47,
2016,infovis,37,
2017,infovis,39,
2018,infovis,46,
2009,scivis,54,
2010,scivis,48,
2011,scivis,49,
2012,scivis,42,
2013,scivis,31,
2014,scivis,34,
2015,scivis,33,
2016,scivis,30,
2017,scivis,23,
2018,scivis,32,
2009,vast,26,
2010,vast,27,
2011,vast,26,
2012,vast,30,
2013,vast,32,
2014,vast,54,
2015,vast,47,
2016,vast,48,
2017,vast,52,
2018,vast,41,
