Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Venues
Offline Signature Verification Using Online Handwriting Registration, Yu Qiao; Jianzhuang Liu; Xiaoou Tang,"Department of Information Engineering, The Chinese University of Hong Kong, qiao@gavo.t.u-tokyo.ac.jp; Department of Information Engineering, The Chinese University of Hong Kong, jzliu@ie.cuhk.edu.hk; Microsoft Research Asia, Beijing, China. xitang@microsoft.com",2007 IEEE Conference on Computer Vision and Pattern Recognition,,2007,,,1,8,"This paper proposes a novel framework for offline signature verification. Different from previous methods, our approach makes use of online handwriting instead of handwritten images for registration. The online registrations enable robust recovery of the writing trajectory from an input offline signature and thus allow effective shape matching between registration and verification signatures. In addition, we propose several new techniques to improve the performance of the new signature verification system: 1. we formulate and solve the recovery of writing trajectory within the framework of conditional random fields; 2. we propose a new shape descriptor, online context, for aligning signatures; 3. we develop a verification criterion which combines the duration and amplitude variances of handwriting. Experiments on a benchmark database show that the proposed method significantly outperforms the well-known offline signature verification methods and achieve comparable performance with online signature verification methods.",,,10.1109/CVPR.2007.383263,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4270288,,Handwriting recognition;Writing;Shape;Feature extraction;Data mining;Asia;Robustness;Databases;Art;Error analysis,handwriting recognition;image matching;image registration,offline signature verification;online handwriting registration;handwritten images;shape matching,,66,,26,,,,,IEEE,IEEE Conferences,CVPR
Motionlets: Mid-level 3D Parts for Human Motion Recognition, Limin Wang; Yu Qiao; Xiaoou Tang,"Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Hong Kong, China; Shenzhen key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Dept. of Inf. Eng., Chinese Univ. of Hong Kong, Hong Kong, China",2013 IEEE Conference on Computer Vision and Pattern Recognition,,2013,,,2674,2681,"This paper proposes motionlet, a mid-level and spatiotemporal part, for human motion recognition. Motion let can be seen as a tight cluster in motion and appearance space, corresponding to the moving process of different body parts. We postulate three key properties of motion let for action recognition: high motion saliency, multiple scale representation, and representative-discriminative ability. Towards this goal, we develop a data-driven approach to learn motion lets from training videos. First, we extract 3D regions with high motion saliency. Then we cluster these regions and preserve the centers as candidate templates for motion let. Finally, we examine the representative and discriminative power of the candidates, and introduce a greedy method to select effective candidates. With motion lets, we present a mid-level representation for video, called motionlet activation vector. We conduct experiments on three datasets, KTH, HMDB51, and UCF50. The results show that the proposed methods significantly outperform state-of-the-art methods.",,,10.1109/CVPR.2013.345,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6619189,,Videos;Three-dimensional displays;Feature extraction;Spatiotemporal phenomena;Histograms;Vectors;Detectors,computer graphics;feature extraction;image motion analysis;video signal processing,mid-level 3D parts;human motion recognition;spatiotemporal part;body parts;action recognition;high motion saliency;multiple scale representation;representative-discriminative ability;data-driven approach;training videos;3D region extraction;motionlet activation vector;KTH dataset;HMDB51 dataset;UCF50 dataset,,187,,32,,,,,IEEE,IEEE Conferences,CVPR
Multi-view Super Vector for Action Recognition, Zhuowei Cai; Limin Wang; Xiaojiang Peng; Yu Qiao,"Shenzhen Key Lab. of Comput. Vision & Pattern Recognition, Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Key Lab. of Comput. Vision & Pattern Recognition, Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Key Lab. of Comput. Vision & Pattern Recognition, Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Key Lab. of Comput. Vision & Pattern Recognition, Shenzhen Inst. of Adv. Technol., Shenzhen, China",2014 IEEE Conference on Computer Vision and Pattern Recognition,,2014,,,596,603,"Images and videos are often characterized by multiple types of local descriptors such as SIFT, HOG and HOF, each of which describes certain aspects of object feature. Recognition systems benefit from fusing multiple types of these descriptors. Two widely applied fusion pipelines are descriptor concatenation and kernel average. The first one is effective when different descriptors are strongly correlated, while the second one is probably better when descriptors are relatively independent. In practice, however, different descriptors are neither fully independent nor fully correlated, and previous fusion methods may not be satisfying. In this paper, we propose a new global representation, Multi-View Super Vector (MVSV), which is composed of relatively independent components derived from a pair of descriptors. Kernel average is then applied on these components to produce recognition result. To obtain MVSV, we develop a generative mixture model of probabilistic canonical correlation analyzers (M-PCCA), and utilize the hidden factors and gradient vectors of M-PCCA to construct MVSV for video representation. Experiments on video based action recognition tasks show that MVSV achieves promising results, and outperforms FV and VLAD with descriptor concatenation or kernel average fusion strategy.",,,10.1109/CVPR.2014.83,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6909477,multi-view;action recognition;mixture model;canonical correlation analysis,Vectors;Videos;Kernel;Correlation;Probabilistic logic;Accuracy;Encoding,feature extraction;image motion analysis;image representation;object recognition;statistical analysis;video signal processing,multiview super vector;SIFT descriptors;HOG descriptors;HOF descriptors;scale invariant feature transforms;histogram-of-oriented gradients;object feature;fusion pipelines;descriptor concatenation;kernel average;MVSV representation;M-PCCA;generative mixture model of probabilistic canonical correlation analyzers;video based action recognition tasks,,154,,39,,,,,IEEE,IEEE Conferences,CVPR
Action recognition with trajectory-pooled deep-convolutional descriptors,Limin Wang; Yu Qiao; Xiaoou Tang,"Department of Information Engineering, The Chinese University of Hong Kong, Hong Kong; Shenzhen key lab of Comp. Vis. & Pat. Rec., Shenzhen Institutes of Advanced Technology, CAS, China; Department of Information Engineering, The Chinese University of Hong Kong, Hong Kong",2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2015,,,4305,4314,"Visual features are of vital importance for human action understanding in videos. This paper presents a new video representation, called trajectory-pooled deep-convolutional descriptor (TDD), which shares the merits of both hand-crafted features [31] and deep-learned features [24]. Specifically, we utilize deep architectures to learn discriminative convolutional feature maps, and conduct trajectory-constrained pooling to aggregate these convolutional features into effective descriptors. To enhance the robustness of TDDs, we design two normalization methods to transform convolutional feature maps, namely spatiotemporal normalization and channel normalization. The advantages of our features come from (i) TDDs are automatically learned and contain high discriminative capacity compared with those hand-crafted features; (ii) TDDs take account of the intrinsic characteristics of temporal dimension and introduce the strategies of trajectory-constrained sampling and pooling for aggregating deep-learned features. We conduct experiments on two challenging datasets: HMD-B51 and UCF101. Experimental results show that TDDs outperform previous hand-crafted features [31] and deep-learned features [24]. Our method also achieves superior performance to the state of the art on these datasets.",,,10.1109/CVPR.2015.7299059,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7299059,,Trajectory;Feature extraction;Videos;Optical imaging;Spatiotemporal phenomena;Visualization;Three-dimensional displays,convolution;learning (artificial intelligence);video signal processing,action recognition;trajectory-pooled deep-convolutional descriptors;TDD;visual features;human action understanding;video representation;hand-crafted features;deep-learned features;deep architectures;discriminative convolutional feature maps;spatiotemporal normalization;channel normalization;HMD-B51 dataset;UCF101 dataset,,822,,42,,,,,IEEE,IEEE Conferences,CVPR
A Key Volume Mining Deep Framework for Action Recognition, Wangjiang Zhu; Jie Hu; Gang Sun; Xudong Cao; Yu Qiao,NA; NA; NA; NA; NA,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2016,,,1991,1999,"Recently, deep learning approaches have demonstrated remarkable progresses for action recognition in videos. Most existing deep frameworks equally treat every volume i.e. spatial-temporal video clip, and directly assign a video label to all volumes sampled from it. However, within a video, discriminative actions may occur sparsely in a few key volumes, and most other volumes are irrelevant to the labeled action category. Training with a large proportion of irrelevant volumes will hurt performance. To address this issue, we propose a key volume mining deep framework to identify key volumes and conduct classification simultaneously. Specifically, our framework is trained is optimized in an alternative way integrated to the forward and backward stages of Stochastic Gradient Descent (SGD). In the forward pass, our network mines key volumes for each action class. In the backward pass, it updates network parameters with the help of these mined key volumes. In addition, we propose ""Stochastic out"" to model key volumes from multi-modalities, and an effective yet simple ""unsupervised key volume proposal"" method for high quality volume sampling. Our experiments show that action recognition performance can be significantly improved by mining key volumes, and we achieve state-of-the-art performance on HMDB51 and UCF101 (93.1%).",,,10.1109/CVPR.2016.219,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780588,,Machine learning;Training;Three-dimensional displays;Stochastic processes;Proposals;Neural networks;Computer vision,data mining;gradient methods;image recognition;learning (artificial intelligence);stochastic processes;video signal processing,key volume mining deep framework;action recognition;deep learning;spatial-temporal video clip;video label;stochastic gradient descent;SGD;stochastic out method;unsupervised key volume proposal method;high quality volume sampling,,173,,37,,,,,IEEE,IEEE Conferences,CVPR
Actionness Estimation Using Hybrid Fully Convolutional Networks, Limin Wang; Yu Qiao; Xiaoou Tang; Luc Van Gool,"Shenzhen key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; NA",2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2016,,,2708,2717,"Actionness was introduced to quantify the likelihood of containing a generic action instance at a specific location. Accurate and efficient estimation of actionness is important in video analysis and may benefit other relevant tasks such as action recognition and action detection. This paper presents a new deep architecture for actionness estimation, called hybrid fully convolutional network (HFCN), which is composed of appearance FCN (A-FCN) and motion FCN (M-FCN). These two FCNs leverage the strong capacity of deep models to estimate actionness maps from the perspectives of static appearance and dynamic motion, respectively. In addition, the fully convolutional nature of H-FCN allows it to efficiently process videos with arbitrary sizes. Experiments are conducted on the challenging datasets of Stanford40, UCF Sports, and JHMDB to verify the effectiveness of H-FCN on actionness estimation, which demonstrate that our method achieves superior performance to previous ones. Moreover, we apply the estimated actionness maps on action proposal generation and action detection. Our actionness maps advance the current state-of-the-art performance of these tasks substantially.",,,10.1109/CVPR.2016.296,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780665,,Estimation;Proposals;Visualization;Computer vision;Computer architecture;Feature extraction;Image segmentation,convolution;estimation theory;image motion analysis;neural nets;video signal processing,actionness estimation;hybrid fully convolutional networks;HFCN;generic action instance;video analysis;appearance FCN;motion FCN;static appearance;dynamic motion;Stanford40 datasets;UCF Sports datasets;JHMDB datasets;action proposal generation;action detection;actionness maps,,60,,50,,,,,IEEE,IEEE Conferences,CVPR
Latent Factor Guided Convolutional Neural Networks for Age-Invariant Face Recognition, Yandong Wen; Zhifeng Li; Yu Qiao,"Sch. of Electron. & Inf. Eng., South China Univ. of Technol., Guangzhou, China; Shenzhen Key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Key Lab. of Comp. Vis. & Pat. Rec., Shenzhen Inst. of Adv. Technol., Shenzhen, China",2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2016,,,4893,4901,"While considerable progresses have been made on face recognition, age-invariant face recognition (AIFR) still remains a major challenge in real world applications of face recognition systems. The major difficulty of AIFR arises from the fact that the facial appearance is subject to significant intra-personal changes caused by the aging process over time. In order to address this problem, we propose a novel deep face recognition framework to learn the ageinvariant deep face features through a carefully designed CNN model. To the best of our knowledge, this is the first attempt to show the effectiveness of deep CNNs in advancing the state-of-the-art of AIFR. Extensive experiments are conducted on several public domain face aging datasets (MORPH Album2, FGNET, and CACD-VS) to demonstrate the effectiveness of the proposed model over the state-of the-art. We also verify the excellent generalization of our new model on the famous LFW dataset.",,,10.1109/CVPR.2016.529,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780898,,Face recognition;Convolution;Face;Aging;Feature extraction;Robustness;Training,age issues;face recognition;neural nets,latent factor guided convolutional neural networks;age-invariant face recognition;AIFR,,85,,37,,,,,IEEE,IEEE Conferences,CVPR
Real-Time Action Recognition with Enhanced Motion Vector CNNs, Bowen Zhang; Limin Wang; Zhe Wang; Yu Qiao; Hanli Wang,NA; NA; NA; NA; NA,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,2016,,,2718,2726,"The deep two-stream architecture [23] exhibited excellent performance on video based action recognition. The most computationally expensive step in this approach comes from the calculation of optical flow which prevents it to be real-time. This paper accelerates this architecture by replacing optical flow with motion vector which can be obtained directly from compressed videos without extra calculation. However, motion vector lacks fine structures, and contains noisy and inaccurate motion patterns, leading to the evident degradation of recognition performance. Our key insight for relieving this problem is that optical flow and motion vector are inherent correlated. Transferring the knowledge learned with optical flow CNN to motion vector CNN can significantly boost the performance of the latter. Specifically, we introduce three strategies for this, initialization transfer, supervision transfer and their combination. Experimental results show that our method achieves comparable recognition performance to the state-of-the-art, while our method can process 390.7 frames per second, which is 27 times faster than the original two-stream method.",,,10.1109/CVPR.2016.297,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780666,,Optical imaging;Real-time systems;Streaming media;Noise measurement;Training;Optical computing;Video compression,image recognition;image sequences;learning (artificial intelligence);motion estimation;neural nets;video coding,knowledge learning;recognition performance;video compression;optical flow calculation;video based action recognition;deep two-stream architecture;enhanced motion vector CNNs;real-time action recognition,,217,,37,,,,,IEEE,IEEE Conferences,CVPR
Temporal Hallucinating for Action Recognition with Few Still Images, Yali Wang; Lei Zhou; Yu Qiao,"Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Inst. of Adv. Technol., Shenzhen, China; Shenzhen Inst. of Adv. Technol., Shenzhen, China",2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,5314,5322,"Action recognition in still images has been recently promoted by deep learning. However, the success of these deep models heavily depends on huge amount of training images for various action categories, which may not be available in practice. Alternatively, humans can classify new action categories after seeing few images, since we may not only compare appearance similarities between images on hand, but also attempt to recall importance motion cues from relevant action videos in our memory. To mimic this capacity, we propose a novel Hybrid Video Memory (HVM) machine, which can hallucinate temporal features of still images from video memory, in order to boost action recognition with few still images. First, we design a temporal memory module consisting of temporal hallucinating and predicting. Temporal hallucinating can generate temporal features of still images in an unsupervised manner. Hence, it can be flexibly used in realistic scenarios, where image and video categories may not be consistent. Temporal predicting can effectively infer action categories for query image, by integrating temporal features of training images and videos within a domain-adaptation manner. Second, we design a spatial memory module for spatial predicting. As spatial and temporal features are complementary to represent different actions, we apply spatial-temporal prediction fusion to further boost performance. Finally, we design a video selection module to select strongly-relevant videos as memory. In this case, we can balance the number of images and videos to reduce prediction bias as well as preserve computation efficiency. To show the effectiveness, we conduct extensive experiments on three challenging data sets, where our HVM outperforms a number of recent approaches by temporal hallucinating from video memory.",,,10.1109/CVPR.2018.00557,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578655,,Videos;Training;Image recognition;Memory modules;Optical imaging;Kernel,feature extraction;image classification;image motion analysis;image recognition;image representation;learning (artificial intelligence);video signal processing,action recognition;novel Hybrid Video Memory machine;temporal memory module;video categories;temporal predicting;query image;temporal hallucinating;video selection module;spatial-temporal prediction fusion;temporal features;spatial memory module;training images,,9,,42,,,,,IEEE,IEEE Conferences,CVPR
An End-to-End TextSpotter with Explicit Alignment and Attention, Tong He; Zhi Tian; Weilin Huang; Chunhua Shen; Yu Qiao; Changming Sun,"Univ. of Adelaide, Adelaide, SA, Australia; Univ. of Adelaide, Adelaide, SA, Australia; Malong Technol. Co., Ltd., Shenzhen, China; Univ. of Adelaide, Adelaide, SA, Australia; Shenzhen Inst. of Adv. Technol., Shenzhen, China; Data61, CSIRO, Australia",2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,2018,,,5020,5029,"Text detection and recognition in natural images have long been considered as two separate tasks that are processed sequentially. Jointly training two tasks is non-trivial due to significant differences in learning difficulties and convergence rates. In this work, we present a conceptually simple yet efficient framework that simultaneously processes the two tasks in a united framework. Our main contributions are three-fold: (1) we propose a novel text-alignment layer that allows it to precisely compute convolutional features of a text instance in arbitrary orientation, which is the key to boost the performance; (2) a character attention mechanism is introduced by using character spatial information as explicit supervision, leading to large improvements in recognition; (3) two technologies, together with a new RNN branch for word recognition, are integrated seamlessly into a single model which is end-to-end trainable. This allows the two tasks to work collaboratively by sharing convolutional features, which is critical to identify challenging text instances. Our model obtains impressive results in end-to-end recognition on the ICDAR 2015 [19], significantly advancing the most recent results [2], with improvements of F-measure from (0.54, 0.51, 0.47) to (0.82, 0.77, 0.63), by using a strong, weak and generic lexicon respectively. Thanks to joint training, our method can also serve as a good detector by achieving a new state-of-the-art detection performance on related benchmarks. Code is available at https://github.com/tonghe90/textspotter.",,,10.1109/CVPR.2018.00527,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578625,,Text recognition;Task analysis;Training;Feature extraction;Image recognition;Convolutional codes;Detectors,character recognition;learning (artificial intelligence);recurrent neural nets;text detection,end-to-end textspotter;text detection;natural images;convolutional features;character attention mechanism;character spatial information;RNN branch;word recognition;end-to-end recognition;text-alignment layer,,46,,43,,,,,IEEE,IEEE Conferences,CVPR
